erasing_type,concept,probe,filename,clip_score,classifier_top1,classifier_top5
rece,tench,noisebasedprobe_nocls,tench_000_seed4534_best.png,20.157039642333984,0,0
rece,tench,noisebasedprobe_cls,tench_000_seed4534_best.png,17.59457015991211,0,0
tv,airliner,standardpromptprobe,airliner_000_seed4534.png,26.860309600830078,0,0
tv,airliner,standardpromptprobe_cls,airliner_000_seed4534.png,30.046642303466797,1,1
tv,airliner,noisebasedprobe_nocls,airliner_000_seed4534_best.png,29.552793502807617,1,1
tv,airliner,noisebasedprobe_cls,airliner_000_seed4534_best.png,27.589750289916992,1,1
tv,garbage_truck,standardpromptprobe,garbage_truck_000_seed4534.png,24.308778762817383,0,0
tv,garbage_truck,standardpromptprobe_cls,garbage_truck_000_seed4534.png,28.559402465820312,0,1
tv,garbage_truck,noisebasedprobe_nocls,garbage_truck_000_seed4534_best.png,26.880273818969727,0,0
tv,garbage_truck,noisebasedprobe_cls,garbage_truck_000_seed4534_best.png,26.487462997436523,1,1
tv,golf_ball,standardpromptprobe,golf_ball_000_seed4534.png,21.220361709594727,0,0
tv,golf_ball,standardpromptprobe_cls,golf_ball_000_seed4534.png,30.800365447998047,0,1
tv,golf_ball,noisebasedprobe_nocls,golf_ball_000_seed4534_best.png,30.047691345214844,1,1
tv,golf_ball,noisebasedprobe_cls,golf_ball_000_seed4534_best.png,29.05372428894043,0,1
tv,tench,standardpromptprobe,tench_000_seed4534.png,34.78593444824219,1,1
tv,tench,standardpromptprobe_cls,tench_000_seed4534.png,28.87390899658203,1,1
tv,tench,noisebasedprobe_nocls,tench_000_seed4534_best.png,32.136287689208984,1,1
tv,tench,noisebasedprobe_cls,tench_000_seed4534_best.png,30.92658805847168,1,1
